title,status,tag,url
"Web Accessibility | What is Web Accessibility? | Udacity Free Courses","Not Started","Web","https://www.udacity.com/course/web-accessibility--ud891"
"Demystifyingish SVG paths | HTTP 203","Not Started","Web","https://www.youtube.com/watch?v=9qen5CKjUe8&list=PLNYkxOF6rcIAKIQFsNbV0JDws_G_bnNo9"
"Learn PWA","Not Started","Web","https://web.dev/learn/pwa"
"Learn","Not Started","Web","https://web.dev/learn/"
"How to win at CORS","Not Started","Web","https://jakearchibald.com/2021/cors/"
"The HTTP crash course nobody asked for","Not Started","Web","https://fasterthanli.me/articles/the-http-crash-course-nobody-asked-for?ck_subscriber_id=1663713556"
"What is CORS?","Not Started","Web","https://simplelocalize.io/blog/posts/what-is-cors/?ref=Architecture+Notes-newsletter"
"https://github.com/yousefvand/shellman-ebook","Not Started","Bash Scripting","https://github.com/yousefvand/shellman-ebook"
"Book","Not Started","Git","https://git-scm.com/book/en/v2"
"“Modern Layouts: Getting Out of Our Ruts” by Jen Simmons – An Event Apart Austin 2015","Not Started","CSS","https://www.youtube.com/watch?v=jreccgYLfx8"
"CSS Masking - Ahmad Shadeed","Not Started","CSS","https://ishadeed.com/article/css-masking/"
"Building an accessible theme picker with HTML, CSS and JavaScript. by Sarah L. Fossheim","Not Started","CSS","https://fossheim.io/writing/posts/accessible-theme-picker-html-css-js/"
"An Interactive Guide to CSS Transitions","Not Started","CSS","https://www.joshwcomeau.com/animation/css-transitions/"
"An Interactive Guide to Flexbox","Not Started","CSS","https://www.joshwcomeau.com/css/interactive-guide-to-flexbox/"
"Lea Verou | CSS Variable Secrets | CSS Day 2022","Not Started","CSS","https://www.youtube.com/watch?v=ZuZizqDF4q8"
"A Complete Guide to CSS Cascade Layers | CSS-Tricks","Not Started","CSS","https://css-tricks.com/css-cascade-layers/"
"How to Create and Implement a Design System with CSS","Not Started","CSS","https://www.freecodecamp.org/news/how-to-create-and-implement-a-design-system-with-css/"
"Markdown Cheat Sheet - How to Write in Markdown with Examples","Not Started","Markdown","https://www.freecodecamp.org/news/markdown-cheat-sheet/"
"A Complete Visual Guide to Understanding the Node.js Event Loop","Not Started","JavaScript","https://www.builder.io/blog/visual-guide-to-nodejs-event-loop?ck_subscriber_id=1663713556"
"JavaScript Guide - JavaScript | MDN","Not Started","JavaScript","https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide"
"Beginner's Series to: JavaScript","Not Started","JavaScript","https://docs.microsoft.com/en-us/shows/Beginners-Series-to-JavaScript/?WT.mc_id=javascript-29163-cxa"
"JavaScript Execution Context - How JS Works Behind The Scenes","Not Started","JavaScript","https://www.freecodecamp.org/news/execution-context-how-javascript-works-behind-the-scenes"
"https://docs.microsoft.com/en-us/shows/Beginners-Series-to-NodeJS/?WT.mc_id=javascript-29163-cxa","Not Started","JavaScript","https://docs.microsoft.com/en-us/shows/Beginners-Series-to-NodeJS/?WT.mc_id=javascript-29163-cxa"
"Build JavaScript applications with Node.js - Learn","Not Started","JavaScript","https://docs.microsoft.com/en-us/learn/paths/build-javascript-applications-nodejs/?WT.mc_id=javascript-29163-cxa"
"JavaScript for impatient programmers (ES2022 edition)","Not Started","JavaScript","https://exploringjs.com/impatient-js/"
"Deep JavaScript: Theory and techniques","Not Started","JavaScript","https://exploringjs.com/deep-js/"
"Handbook - The TypeScript Handbook","Not Started","TypeScript","https://www.typescriptlang.org/docs/handbook/intro.html"
"Tackling TypeScript:Upgrading from JavaScript","Not Started","TypeScript","https://exploringjs.com/tackling-ts/"
"Learn TypeScript - Full Course for Beginners","Not Started","TypeScript","https://www.youtube.com/watch?v=gp5H0Vw39yw"
"How To Set Up a Node Project With Typescript | DigitalOcean","Not Started","TypeScript","https://www.digitalocean.com/community/tutorials/setting-up-a-node-project-with-typescript"
"Refactor a React Application to TypeScript","Not Started","TypeScript","https://egghead.io/courses/refactor-a-react-application-to-typescript-c70bffa0?_cio_id=89fb0500c67fc77f&utm_campaign=Refactor%20a%20React%20Application%20to%20TypeScript&utm_content=Refactor%20a%20React%20Application%20to%20TypeScript&utm_medium=email_action&utm_source=customer.io"
"Advanced TypeScript Fundamentals","Not Started","TypeScript","https://egghead.io/courses/advanced-typescript-fundamentals-579c174f"
"TypeScript: Tips and Tricks","Not Started","TypeScript","https://egghead.io/courses/typescript-tips-and-tricks-20c4"
"Build a Chrome Extension - Course for Beginners","Not Started","Browser Extension","https://www.youtube.com/watch?v=0n809nd4Zu4"
"✋🏼🔥 CS Visualized: CORS","Not Started","CORS","https://dev.to/lydiahallie/cs-visualized-cors-5b8h"
"How to win at CORS","Not Started","CORS","https://jakearchibald.com/2021/cors/"
"CORS playground - JakeArchibald.com","Not Started","CORS","https://jakearchibald.com/2021/cors/playground/"
"Code a Minecraft Clone Using React and Three.js","Not Started","Three.js","https://www.freecodecamp.org/news/code-a-minecraft-clone-using-react-and-three-js/"
"Front-End Performance Checklist 2021 (PDF, Apple Pages, MS Word) - Smashing Magazine","Not Started","Frontend Performance","https://www.smashingmagazine.com/2021/01/front-end-performance-2021-free-pdf-checklist/"
"Frontend Web Performance: The Essentials [0]","Not Started","Frontend Performance","https://medium.com/@matthew.costello/frontend-web-performance-the-essentials-0-61fea500b180"
"Frontend Web Performance: The Essentials [1]","Not Started","Frontend Performance","https://medium.com/@matthew.costello/frontend-web-performance-the-essentials-1-cb6513e1c3a1"
"Up and Running with Remix","Not Started","Remix","https://egghead.io/courses/up-and-running-with-remix-b82b6bb6"
"Validating Remix Form Data Using Zod and TypeScript","Not Started","Remix","https://egghead.io/blog/validating-remix-form-data-using-zod-and-typescript-in-action-functions"
